"name","index","value","fix","label","unit"
"LAG",1,1,FALSE,"Lag time","h"
"BIO",2,1,FALSE,"Bioavailability",NA
"DUR",3,4,FALSE,"Duration of 0-order input","h"
"KA",4,1,FALSE,"Absorption rate","1/h"
"VC",5,10,FALSE,"Volume of central compartment","L"
"VP",6,40,FALSE,"Volume of peripheral compartment","L"
"Q",7,20,FALSE,"Inter-compartment flow","L/h"
"CL",8,3,FALSE,"Clearance","L/h"
"VMAX",9,20,FALSE,"Maximal elimination rate","mg/h"
"KM",10,5,FALSE,"Concentration at 50% max. elimination","mg/L"
