"name","index","value","fix","label","unit"
"BIO",1,1,FALSE,"Bioavailability",NA
"DUR",2,4,FALSE,"Duration of 0-order input","h"
"KA",3,1,FALSE,"Absorption rate","1/h"
"VC",4,10,FALSE,"Volume of central compartment","L"
"VP",5,40,FALSE,"Volume of peripheral compartment","L"
"Q",6,20,FALSE,"Inter-compartment flow","L/h"
"VP2",7,200,FALSE,"Volume of peripheral compartment 2","L"
"Q2",8,10,FALSE,"Inter-compartment flow 2","L/h"
"VMAX",9,20,FALSE,"Maximal elimination rate","mg/h"
"KM",10,5,FALSE,"Concentration at 50% max. elimination","mg/L"
