"name","index","value","fix","label","unit"
"BIO",1,0.6,FALSE,"Bioavailability",NA
"KA",2,0.2,FALSE,"Absorption rate","1/h"
"VC",3,3,FALSE,"Volume of central compartment","L"
"VP",4,3,FALSE,"Volume of peripheral compartment","L"
"Q",5,0.5,FALSE,"Inter-compartment flow","L/h"
"CL",6,0.5,FALSE,"Linear clearance","L/h"
"R0",7,20,FALSE,"Baseline target concentration","nM"
"KDEG",8,2,FALSE,"Degradation rate of free target","1/d"
"KSS",9,1,FALSE,"Approximate dissociation constant","nM"
"KINT",10,1,FALSE,"Internalization/Degredation rate of drug-target complex","1/d"
